id,tt_id,genre,bucket
246,1740,/Drama/,Serious Drama
247,1069,/Drama/,Serious Drama
248,1446,/Drama/,Serious Drama
249,40904,/Drama/,Serious Drama
250,36482,/Drama/,Serious Drama
251,36391,/Drama/,Serious Drama
252,35389,/Drama/,Serious Drama
253,34660,/Drama/,Serious Drama
254,33569,/Drama/,Serious Drama
255,33455,/Drama/,Serious Drama
256,33405,/Drama/,Serious Drama
257,33285,/Drama/,Serious Drama
258,32948,/Drama/,Serious Drama
259,32160,/Drama/,Serious Drama
260,31220,/Drama/,Serious Drama
261,31121,/Drama/,Serious Drama
262,30755,/Drama/,Serious Drama
263,30470,/Drama/,Serious Drama
264,23923,/Drama/,Serious Drama
265,21595,/Drama/,Serious Drama
266,21667,/Drama/,Serious Drama
267,21344,/Drama/,Serious Drama
268,21308,/Drama/,Serious Drama
269,21059,/Drama/,Serious Drama
270,20248,/Drama/,Serious Drama
271,19523,/Drama/,Serious Drama
272,18537,/Drama/,Serious Drama
273,17626,/Drama/,Serious Drama
274,18606,/Drama/,Serious Drama
275,15922,/Drama/,Serious Drama
276,14590,/Drama/,Serious Drama
277,11661,/Drama/,Serious Drama
278,9302,/Drama/,Serious Drama
279,11123,/Drama/,Serious Drama
280,9021,/Drama/,Serious Drama
281,6680,/Drama/,Serious Drama
282,4990,/Drama/,Serious Drama
283,4412,/Drama/,Serious Drama
284,3929,/Drama/,Serious Drama
285,4276,/Drama/,Serious Drama
286,3072,/Drama/,Serious Drama
287,2971,/Drama/,Serious Drama
288,434,/Drama/,Serious Drama
289,114,/Drama/,Serious Drama
290,34673,/Drama/,Serious Drama
291,28424,/Drama/,Serious Drama
292,27505,/Drama/,Serious Drama
293,27602,/Drama/,Serious Drama
294,25523,/Drama/,Serious Drama
295,21246,/Drama/,Serious Drama
296,18395,/Drama/,Serious Drama
297,19212,/Drama/,Serious Drama
298,9139,/Drama/,Serious Drama
299,6877,/Drama/,Serious Drama
300,6569,/Drama/,Serious Drama
301,5384,/Drama/,Serious Drama
302,6967,/Drama/,Serious Drama
303,4465,/Drama/,Serious Drama
304,4254,/Drama/,Serious Drama
305,2084,/Drama/,Serious Drama
306,1323,/Drama/,Serious Drama
307,1310,/Drama/,Serious Drama
308,785,/Drama/,Serious Drama
309,33127,/Drama/,Serious Drama
310,32712,/Drama/,Serious Drama
311,30897,/Drama/,Serious Drama
312,30042,/Drama/,Serious Drama
313,30323,/Drama/,Serious Drama
314,25874,/Drama/,Serious Drama
315,25124,/Drama/,Serious Drama
316,24920,/Drama/,Serious Drama
317,15668,/Drama/,Serious Drama
318,11638,/Drama/,Serious Drama
319,9946,/Drama/,Serious Drama
320,9125,/Drama/,Serious Drama
321,7827,/Drama/,Serious Drama
322,6659,/Drama/,Serious Drama
323,4478,/Drama/,Serious Drama
324,5229,/Drama/,Serious Drama
325,4009,/Drama/,Serious Drama
326,2079,/Drama/,Serious Drama
327,1042,/Drama/,Serious Drama
328,1170,/Drama/,Serious Drama
329,1438,/Drama/,Serious Drama
330,199,/Drama/,Serious Drama
331,37703,/Drama/,Serious Drama
332,39710,/Drama/,Serious Drama
333,38754,/Drama/,Serious Drama
334,32640,/Drama/,Serious Drama
335,32577,/Drama/,Serious Drama
336,31818,/Drama/,Serious Drama
337,31671,/Drama/,Serious Drama
338,29371,/Drama/,Serious Drama
339,28792,/Drama/,Serious Drama
340,28707,/Drama/,Serious Drama
341,28631,/Drama/,Serious Drama
342,26714,/Drama/,Serious Drama
343,20815,/Drama/,Serious Drama
344,20809,/Drama/,Serious Drama
345,21309,/Drama/,Serious Drama
346,19436,/Drama/,Serious Drama
347,17121,/Drama/,Serious Drama
348,16152,/Drama/,Serious Drama
349,15549,/Drama/,Serious Drama
350,15021,/Drama/,Serious Drama
351,13619,/Drama/,Serious Drama
352,12302,/Drama/,Serious Drama
353,12113,/Drama/,Serious Drama
354,11716,/Drama/,Serious Drama
355,11649,/Drama/,Serious Drama
356,11593,/Drama/,Serious Drama
